0,1,2,3,4,5
-7.1555802759807845,2.3596418165636583,0.083,34055.6962,-3189.3497303862086,256.5291417077223
-7.259889184349227,2.7035806860601683,0.083,29814.68354,-3167.461411333532,65.05737995457184
-7.402438897619355,3.1216171022970163,0.08,29128.10127,-3155.486452586523,-146.31481513615813
-7.560487128885205,3.659098118415151,0.083,28228.86076,-3153.77313674424,-378.0239713589134
-7.728651415532251,4.341774214999065,0.081,27335.6962,-3162.5873781163295,-631.1815751294175
-7.899514398932829,5.141518379576377,0.081,26624.81013,-3181.865617854664,-906.8991128634284
-8.0376624977856,5.888902109167658,0.08,25998.98734,-3211.46192882171,-1206.288070976684
-8.111134443799473,6.379847231149588,0.085,25446.07595,-3251.230383879899,-1529.2904069237318
-8.110805765692719,6.448444320544583,0.081,24777.72152,-3301.0250558916946,-1871.0382743135488
-8.105216844561822,6.081458942958742,0.082,24279.49367,-3360.700017719543,-2224.9675457907438
-8.165173089357506,5.514158515797621,0.081,23896.70886,-3430.1093422258896,-2584.3824059991307
-8.31885421008853,5.624614626562901,0.083,23544.3038,-3509.107102273184,-2942.587039582506
-8.539662197189068,6.491839176059253,0.081,23003.5443,-3597.547370723868,-3292.8856311846935
-8.746792356626084,7.323143557791353,0.084,22329.11392,-3695.2842204404114,-3628.5761893157123
-8.825695980184657,7.8623471938431475,0.083,22092.1519,-3802.1717242852424,-3942.932017950449
-8.725177418526396,8.028108295458091,0.083,21903.79747,-3918.063955120821,-4229.321025556183
-8.550990748407877,7.75298569987046,0.081,21685.06329,-4042.8149858095917,-4481.619570904752
-8.418466216504882,7.20789642416411,0.082,21484.55696,-4176.278889214008,-4694.226104593545
-8.407109507206973,6.584737007046806,0.083,21107.8481,-4318.309738196516,-4862.059832573593
-8.48769682700016,6.058815900677638,0.084,20998.48101,-4468.661509756666,-4982.945435169653
-8.611508674280383,5.639740555951743,0.081,20870.88608,-4626.663688282374,-5060.098076894289
-8.75679562981139,5.278143342307851,0.083,20870.88608,-4791.449225658549,-5098.140364472585
-8.8924269911087,4.911214449386161,0.085,20597.46835,-4962.126964610056,-5102.3496168461115
-8.970526506307191,4.4867188698684926,0.081,20421.26582,-5137.805747861767,-5078.167470625315
